Date,cumulative,SPY_Price
2014-06-03,262978.59499522473,247687.57980774395
2014-06-04,262928.23814985424,248188.60679643432
2014-06-05,264922.7997547006,249807.30485156592
2014-06-06,265569.8100816257,251002.07358014255
2014-06-09,265984.4347918604,251259.00697897526
2014-06-10,266765.32332608034,251284.70619968706
2014-06-11,267104.4722921144,250411.10912034172
2014-06-12,264977.2878459598,248638.23534370112
2014-06-13,265294.3902970246,249396.21533398598
2014-06-16,265394.5388024094,249601.75029139506
2014-06-17,266214.0784886856,250295.4920312813
2014-06-18,267908.6070822085,252132.58445555877
2014-06-19,267593.8229365756,252415.21707510328
2014-06-20,267477.83141193574,251721.49493797883
2014-06-23,268118.71483978117,251644.41687860517
2014-06-24,266519.5268282766,250128.47650079726
2014-06-25,268320.02366207284,251259.00697897526
2014-06-26,268289.91234563116,251079.1516395162
2014-06-27,269388.58601017983,251567.33881923158
2014-06-30,270023.47953551065,251438.86231843432
2014-07-01,271855.59478012624,253121.79862396454
2014-07-02,271446.2578268949,253378.73202279722
2014-07-03,272218.21778318717,254624.87959003565
2014-07-07,271703.53536076663,253738.44270171534
2014-07-08,268645.0815623028,252106.90483760877
2014-07-09,269552.0498800606,253237.41571302497
2014-07-10,268642.2547200496,252235.36173564423
2014-07-11,270798.41626226704,252582.2326055873
2014-07-14,272945.1971701677,253854.0793935376
2014-07-15,271342.92288821604,253378.73202279722
2014-07-16,272194.46152827336,254316.56735254117
2014-07-17,270179.1811416515,251426.0225094593
2014-07-18,272569.39741931943,253995.39570330986
2014-07-21,272655.0513776612,253520.04833256948
2014-07-22,273075.5691807371,254624.87959003565
2014-07-23,273988.5976873089,255190.14482912468
2014-07-24,274612.1575285366,255202.9846380997
2014-07-25,272117.92333963583,254008.23551228485
2014-07-28,271920.11168433283,254111.01279237028
2014-07-29,272071.6653086556,253019.02134387908
2014-07-30,272867.4492811193,253057.5603735659
2014-07-31,269375.3859761709,248060.13029563712
2014-08-01,268568.16641459323,247302.169908114
2014-08-04,270087.39806546364,249087.88349372966
2014-08-05,268904.0764515351,246672.66641862638
2014-08-06,268519.9236252731,246749.76408076184
2014-08-07,268214.54383412004,245413.67904241293
2014-08-08,269745.4895808113,248252.84504683295
2014-08-11,270484.03111106856,248972.26640466924
2014-08-12,268806.44922005053,248625.3955347261
2014-08-13,270124.8307951146,250308.33184025632
2014-08-14,271314.8407388256,251490.24115709614
2014-08-15,271435.9700026744,251438.86231843432
2014-08-18,272640.4070458348,253545.74755328128
2014-08-19,273809.0675401478,254868.9731798934
2014-08-20,273989.27995639766,255549.85550804282
2014-08-21,274581.3549910637,256294.97608659088
2014-08-22,276462.10312749504,255896.72637798593
2014-08-25,276391.80858173064,257194.25278388624
2014-08-26,276972.65870805405,257361.26831437027
2014-08-27,277419.63464108284,257258.49103428482
2014-08-28,276552.9834333663,257117.1747245126
2014-08-29,277105.3129878207,257849.45549408565
2014-09-02,277749.2256629458,257720.97899328842
